"","X","hitid","assignmentaccepttime","Answer.Qasmm1","Answer.Qasmm2","Answer.acrossLabel","Answer.cond","Answer.Qasm2","Answer.Qasm1","Answer.withinLabel","Answer.label","Answer.Qwsmm1","Answer.Qwsmm2","Answer.sample","Answer.acrossTarget","Answer.mainNum","Answer.acrossOther","Answer.click1","Answer.click2","Answer.Qwsm1","Answer.question1","Answer.Qwsm2","Answer.question2","Answer.withinTarget","Answer.dist","Answer.withinOther","Answer.Qacheck","Answer.Qwcheck","runNum","workerids"
"1",1,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:26:25 PDT 2012",0,0,"""blicket""","""1""",1,1,"""tupa""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,2,"1"
"2",2,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:29:22 PDT 2012",0,1,"""fep""","""2""",1,1,"""tupa""",1,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,2,"2"
"3",3,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:32:30 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"3"
"4",4,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:34:42 PDT 2012",0,0,"""wug""","""2""",0,0,"""blicket""",1,0,0,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,2,"4"
"5",5,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:36:35 PDT 2012",0,0,"""blicket""","""1""",1,0,"""wug""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,2,"5"
"6",6,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:40:40 PDT 2012",0,0,"""fep""","""2""",1,1,"""wug""",1,0,0,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"6"
"7",7,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:46:25 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"7"
"8",8,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:48:53 PDT 2012",0,0,"""wug""","""1""",1,0,"""fep""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"8"
"9",9,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:49:45 PDT 2012",1,1,"""tupa""","""2""",1,1,"""wug""",1,0,0,1,"""a""",13,"""c""","""correct""","""false""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"9"
"10",10,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:56:21 PDT 2012",1,0,"""fep""","""1""",1,1,"""wug""",1,0,0,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"10"
"11",11,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 23:27:39 PDT 2012",1,1,"""tupa""","""2""",1,1,"""fep""",1,1,1,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"11"
"12",12,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 23:59:08 PDT 2012",0,0,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"12"
"13",13,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:08:17 PDT 2012",0,0,"""tupa""","""2""",0,0,"""wug""",1,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""b""",0,0,2,"13"
"14",14,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:11:35 PDT 2012",1,1,"""wug""","""1""",1,1,"""tupa""",1,1,1,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,2,"14"
"15",15,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:24:54 PDT 2012",1,1,"""fep""","""2""",1,1,"""blicket""",1,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""a""",0,0,2,"15"
"16",16,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:47:01 PDT 2012",1,1,"""fep""","""1""",1,0,"""blicket""",1,0,0,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"16"
"17",17,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 02:54:01 PDT 2012",0,0,"""wug""","""2""",1,0,"""blicket""",1,0,0,1,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""c""",0,0,2,"17"
"18",18,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 03:04:47 PDT 2012",0,0,"""blicket""","""1""",1,1,"""tupa""",1,0,0,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"18"
"19",19,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 04:26:13 PDT 2012",0,0,"""tupa""","""2""",0,0,"""wug""",1,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"19"
"20",20,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:06:48 PDT 2012",1,1,"""fep""","""1""",1,1,"""blicket""",1,1,1,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,2,"20"
"21",21,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:18:18 PDT 2012",1,1,"""blicket""","""2""",1,1,"""wug""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,2,"21"
"22",22,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:35:27 PDT 2012",0,1,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"22"
"23",23,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:37:32 PDT 2012",0,0,"""blicket""","""2""",0,1,"""wug""",1,0,0,1,"""d""",13,"""c""","""correct""","""correct""",0,TRUE,0,TRUE,"""b""","[]","""a""",0,0,2,"23"
"24",24,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:43:41 PDT 2012",0,0,"""fep""","""1""",0,1,"""wug""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""d""",0,0,2,"24"
"25",25,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:48:40 PDT 2012",0,0,"""tupa""","""2""",0,1,"""wug""",1,0,0,1,"""d""",13,"""a""","""false""","""false""",0,TRUE,0,TRUE,"""b""","[]","""c""",0,0,2,"25"
